category,title_cn,filename,resolution,license,author,commons_page,direct_url
port,港口 · 卡拉德尼兹电力船 (MV Karadeniz Powership),"MV Karadeniz Powership Doğan Bey, Freetown, Sierra Leone.jpg",4754x3169,见Commons文件页确认,见Commons文件页,https://commons.wikimedia.org/wiki/File:MV_Karadeniz_Powership_Do%C4%9Fan_Bey%2C_Freetown%2C_Sierra_Leone.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/MV_Karadeniz_Powership_Do%C4%9Fan_Bey%2C_Freetown%2C_Sierra_Leone.jpg
coast,海岸 · 阿伯丁半岛 (Aberdeen),Aberdeen Freetown Sierra Leone - panoramio.jpg,3072x2304,CC BY (panoramio·见文件页),Panoramio 上传者,https://commons.wikimedia.org/wiki/File:Aberdeen%2C_Freetown%2C_Sierra_Leone_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Aberdeen%2C_Freetown%2C_Sierra_Leone_-_panoramio.jpg
coast,海岸全景 · Ghassan Mroue,Untitled - panoramio - Ghassan Mroue (1).jpg,3072x2304,CC BY (panoramio·见文件页),Ghassan Mroue,https://commons.wikimedia.org/wiki/File:Untitled_-_panoramio_-_Ghassan_Mroue_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Untitled_-_panoramio_-_Ghassan_Mroue_%281%29.jpg
skyline,城市俯瞰 · Fourah Bay 学院方向,Freetown from an apartment near Fourah Bay College.jpg,4384x2805,见Commons文件页确认,John Atherton (gbaku),https://commons.wikimedia.org/wiki/File:Freetown%2C_Sierra_Leone_%28West_Africa%29_from_an_apartment_near_Fourah_Bay_College_%282536946628%29.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Freetown%2C_Sierra_Leone_%28West_Africa%29_from_an_apartment_near_Fourah_Bay_College_%282536946628%29.jpg
city,城市街景 Freetown 06 10,Freetown 06 10 (12) (4723659115).jpg,3488x2616,见Commons文件页确认,见Commons文件页,https://commons.wikimedia.org/wiki/File:Freetown_06_10_%2812%29_%284723659115%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Freetown_06_10_%2812%29_%284723659115%29.jpg
historic,历史 · 1905年的弗里敦,"Freetown, Sierra Leone, c. 1905.jpg",4399x2577,CC BY-SA 2.0,John Atherton,https://commons.wikimedia.org/wiki/File:Freetown%2C_Sierra_Leone_%28West_Africa%29%2C_c._1905_%287720917558%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Freetown%2C_Sierra_Leone_%28West_Africa%29%2C_c._1905_%287720917558%29.jpg
historic,历史 · 1942年的弗里敦,"Freetown, Sierra Leone, 1942.jpg",3910x2463,见Commons文件页确认,见Commons文件页,https://commons.wikimedia.org/wiki/File:Freetown%2C_Sierra_Leone_%28West_Africa%29_in_1942_%283392113363%29.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Freetown%2C_Sierra_Leone_%28West_Africa%29_in_1942_%283392113363%29.jpg
